# access control bulk log — generated
# timezone: Asia/Seoul
2024-07-28T02:12:19+09:00 badge=E-J name=조연구원 auth=badge door=lobby ACTION=EXIT
2024-07-28T02:13:48+09:00 badge=E-D name=윤사원 auth=badge door=lounge ACTION=ENTER
2024-07-28T02:13:56+09:00 badge=E-C name=박신입 auth=badge door=server_room ACTION=DENIED
2024-07-28T02:15:49+09:00 badge=E-J name=조연구원 auth=badge door=lab ACTION=EXIT
2024-07-28T02:16:09+09:00 badge=E-D name=윤사원 auth=badge door=lab ACTION=ENTER
2024-07-28T02:17:03+09:00 badge=E-G name=오주임 auth=badge door=office_floor3 ACTION=PING
2024-07-28T02:22:01+09:00 badge=E-F name=한과장 auth=badge door=office_floor3 ACTION=ENTER
2024-07-28T02:28:23+09:00 badge=E-G name=오주임 auth=badge door=lounge ACTION=DENIED
2024-07-28T02:29:05+09:00 badge=E-A name=김팀장 auth=badge door=lobby ACTION=DENIED
2024-07-28T02:38:44+09:00 badge=E-D name=윤사원 auth=badge door=lounge ACTION=PING
2024-07-28T02:39:04+09:00 badge=E-B name=이대리 auth=badge door=server_room ACTION=ENTER
2024-07-28T02:41:05+09:00 badge=E-C name=박신입 auth=badge door=server_room ACTION=EXIT
2024-07-28T02:42:11+09:00 badge=E-A name=김팀장 auth=badge door=lobby ACTION=ENTER
2024-07-28T02:42:42+09:00 badge=E-J name=조연구원 auth=badge door=office_floor3 ACTION=EXIT
2024-07-28T02:46:30+09:00 badge=E-J name=조연구원 auth=badge door=server_room ACTION=DENIED
2024-07-28T02:48:57+09:00 badge=E-J name=조연구원 auth=badge door=lounge ACTION=DENIED
2024-07-28T02:49:28+09:00 badge=E-B name=이대리 auth=badge door=lobby ACTION=EXIT
2024-07-28T02:49:54+09:00 badge=E-G name=오주임 auth=badge door=office_floor3 ACTION=EXIT
2024-07-28T02:51:33+09:00 badge=E-B name=이대리 auth=badge door=parking ACTION=EXIT
2024-07-28T02:51:37+09:00 badge=E-J name=조연구원 auth=badge door=lounge ACTION=DENIED
2024-07-28T02:51:43+09:00 badge=E-J name=조연구원 auth=badge door=lobby ACTION=ENTER
2024-07-28T02:54:36+09:00 badge=E-H name=신인턴 auth=badge door=lab ACTION=ENTER
2024-07-28T02:54:56+09:00 badge=E-A name=김팀장 auth=badge door=office_floor3 ACTION=DENIED
2024-07-28T02:55:40+09:00 badge=E-J name=조연구원 auth=badge door=server_room ACTION=DENIED
2024-07-28T02:56:01+09:00 badge=E-F name=한과장 auth=badge door=lounge ACTION=EXIT
2024-07-28T02:59:04+09:00 badge=E-D name=윤사원 auth=badge door=lobby ACTION=ENTER
2024-07-28T02:59:27+09:00 badge=E-G name=오주임 auth=badge door=parking ACTION=ENTER
2024-07-28T02:59:27+09:00 badge=E-I name=배수석 auth=badge door=lobby ACTION=DENIED
2024-07-28T03:01:42+09:00 badge=E-I name=배수석 auth=badge door=lounge ACTION=DENIED
2024-07-28T03:02:11+09:00 badge=E-A name=김팀장 auth=badge door=server_room ACTION=ENTER
2024-07-28T03:04:19+09:00 badge=E-E name=정대리 auth=badge door=lobby ACTION=ENTER
2024-07-28T03:04:34+09:00 badge=E-H name=신인턴 auth=badge door=office_floor3 ACTION=ENTER
2024-07-28T03:05:45+09:00 badge=E-G name=오주임 auth=badge door=office_floor3 ACTION=DENIED
2024-07-28T03:06:04+09:00 badge=E-F name=한과장 auth=badge door=server_room ACTION=ENTER
2024-07-28T03:07:10+09:00 badge=E-E name=정대리 auth=badge door=lab ACTION=PING
2024-07-28T03:08:57+09:00 badge=E-B name=이대리 auth=badge door=lobby ACTION=DENIED
2024-07-28T03:10:38+09:00 badge=E-H name=신인턴 auth=badge door=server_room ACTION=DENIED
2024-07-28T03:12:06+09:00 badge=E-J name=조연구원 auth=badge door=lounge ACTION=PING
2024-07-28T03:16:49+09:00 badge=E-B name=이대리 auth=badge door=lab ACTION=EXIT
2024-07-28T03:18:22+09:00 badge=E-B name=이대리 auth=badge door=server_room ACTION=EXIT
2024-07-28T03:18:31+09:00 badge=E-J name=조연구원 auth=badge door=office_floor3 ACTION=PING
2024-07-28T03:19:13+09:00 badge=E-H name=신인턴 auth=badge door=lab ACTION=EXIT
2024-07-28T03:19:15+09:00 badge=E-A name=김팀장 auth=badge door=lab ACTION=EXIT
2024-07-28T03:19:45+09:00 badge=E-I name=배수석 auth=badge door=server_room ACTION=DENIED
2024-07-28T03:22:59+09:00 badge=E-E name=정대리 auth=badge door=lab ACTION=PING
2024-07-28T03:24:40+09:00 badge=E-A name=김팀장 auth=badge door=server_room ACTION=DENIED
2024-07-28T03:26:22+09:00 badge=E-I name=배수석 auth=badge door=server_room ACTION=ENTER
2024-07-28T03:26:56+09:00 badge=E-B name=이대리 auth=badge door=office_floor3 ACTION=ENTER
2024-07-28T03:28:56+09:00 badge=E-B name=이대리 auth=badge door=lobby ACTION=ENTER
2024-07-28T03:29:25+09:00 badge=E-G name=오주임 auth=badge door=lobby ACTION=PING
2024-07-28T03:30:59+09:00 badge=E-F name=한과장 auth=badge door=server_room ACTION=DENIED
2024-07-28T03:31:31+09:00 badge=E-G name=오주임 auth=badge door=lounge ACTION=DENIED
2024-07-28T03:32:49+09:00 badge=E-H name=신인턴 auth=badge door=parking ACTION=EXIT
2024-07-28T03:33:34+09:00 badge=E-F name=한과장 auth=badge door=office_floor3 ACTION=PING
2024-07-28T03:33:53+09:00 badge=E-B name=이대리 auth=badge door=server_room ACTION=ENTER
2024-07-28T03:34:47+09:00 badge=E-B name=이대리 auth=badge door=office_floor3 ACTION=PING
2024-07-28T03:35:03+09:00 badge=E-C name=박신입 auth=badge door=lobby ACTION=EXIT
2024-07-28T03:36:33+09:00 badge=E-I name=배수석 auth=badge door=lab ACTION=EXIT
2024-07-28T03:37:44+09:00 badge=E-C name=박신입 auth=badge door=lobby ACTION=EXIT
2024-07-28T03:38:08+09:00 badge=E-H name=신인턴 auth=badge door=server_room ACTION=DENIED
2024-07-28T03:38:29+09:00 badge=E-E name=정대리 auth=badge door=lobby ACTION=EXIT
2024-07-28T03:40:04+09:00 badge=E-G name=오주임 auth=badge door=office_floor3 ACTION=PING
2024-07-28T03:40:10+09:00 badge=E-D name=윤사원 auth=badge door=lab ACTION=PING
2024-07-28T03:40:49+09:00 badge=E-C name=박신입 auth=badge door=server_room ACTION=DENIED
2024-07-28T03:41:52+09:00 badge=E-A name=김팀장 auth=badge door=server_room ACTION=DENIED
2024-07-28T03:43:26+09:00 badge=E-D name=윤사원 auth=badge door=parking ACTION=ENTER
2024-07-28T03:45:00+09:00 badge=E-H name=신인턴 auth=badge door=lobby ACTION=DENIED
2024-07-28T03:45:33+09:00 badge=E-D name=윤사원 auth=badge door=parking ACTION=EXIT
2024-07-28T03:45:54+09:00 badge=E-J name=조연구원 auth=badge door=lobby ACTION=DENIED
2024-07-28T03:47:10+09:00 badge=E-D name=윤사원 auth=badge door=lab ACTION=EXIT
2024-07-28T03:47:53+09:00 badge=E-F name=한과장 auth=badge door=lounge ACTION=DENIED
2024-07-28T03:49:39+09:00 badge=E-G name=오주임 auth=badge door=parking ACTION=ENTER
2024-07-28T03:50:54+09:00 badge=E-G name=오주임 auth=badge door=lab ACTION=EXIT
2024-07-28T03:53:38+09:00 badge=E-G name=오주임 auth=badge door=lobby ACTION=EXIT
2024-07-28T03:54:40+09:00 badge=E-A name=김팀장 auth=badge door=lobby ACTION=ENTER
2024-07-28T03:55:22+09:00 badge=E-A name=김팀장 auth=badge door=lobby ACTION=PING
2024-07-28T03:56:48+09:00 badge=E-E name=정대리 auth=badge door=lab ACTION=PING
2024-07-28T03:58:11+09:00 badge=E-G name=오주임 auth=badge door=lobby ACTION=ENTER
2024-07-28T03:59:13+09:00 badge=E-J name=조연구원 auth=badge door=server_room ACTION=EXIT
2024-07-28T04:01:18+09:00 badge=E-F name=한과장 auth=badge door=lab ACTION=ENTER
2024-07-28T04:05:08+09:00 badge=E-E name=정대리 auth=badge door=lab ACTION=EXIT
2024-07-28T04:07:11+09:00 badge=E-I name=배수석 auth=badge door=office_floor3 ACTION=PING
2024-07-28T04:12:27+09:00 badge=E-D name=윤사원 auth=badge door=office_floor3 ACTION=ENTER
2024-07-28T04:14:19+09:00 badge=E-G name=오주임 auth=badge door=server_room ACTION=EXIT
2024-07-28T04:16:25+09:00 badge=E-J name=조연구원 auth=badge door=lounge ACTION=PING
2024-07-28T04:17:20+09:00 badge=E-D name=윤사원 auth=badge door=lab ACTION=ENTER
2024-07-28T04:17:59+09:00 badge=E-J name=조연구원 auth=badge door=lab ACTION=EXIT
2024-07-28T04:19:11+09:00 badge=E-C name=박신입 auth=badge door=parking ACTION=PING
2024-07-28T04:22:18+09:00 badge=E-J name=조연구원 auth=badge door=lobby ACTION=DENIED
2024-07-28T04:23:58+09:00 badge=E-E name=정대리 auth=badge door=lobby ACTION=PING
2024-07-28T04:26:53+09:00 badge=E-D name=윤사원 auth=badge door=parking ACTION=DENIED
2024-07-28T04:30:05+09:00 badge=E-B name=이대리 auth=badge door=parking ACTION=EXIT
2024-07-28T04:34:34+09:00 badge=E-J name=조연구원 auth=badge door=lab ACTION=DENIED
2024-07-28T04:34:43+09:00 badge=E-J name=조연구원 auth=badge door=server_room ACTION=DENIED
2024-07-28T04:38:51+09:00 badge=E-H name=신인턴 auth=badge door=lobby ACTION=PING
2024-07-28T04:41:31+09:00 badge=E-D name=윤사원 auth=badge door=lab ACTION=PING
2024-07-28T04:42:13+09:00 badge=E-B name=이대리 auth=badge door=parking ACTION=ENTER
2024-07-28T04:42:29+09:00 badge=E-B name=이대리 auth=badge door=lobby ACTION=PING
2024-07-28T04:43:27+09:00 badge=E-C name=박신입 auth=badge door=server_room ACTION=DENIED
2024-07-28T04:43:44+09:00 badge=E-B name=이대리 auth=badge door=parking ACTION=EXIT
2024-07-28T04:47:15+09:00 badge=E-B name=이대리 auth=badge door=parking ACTION=DENIED
2024-07-28T04:49:36+09:00 badge=E-D name=윤사원 auth=badge door=lounge ACTION=PING
2024-07-28T04:52:27+09:00 badge=E-G name=오주임 auth=badge door=lounge ACTION=PING
2024-07-28T04:53:35+09:00 badge=E-D name=윤사원 auth=badge door=office_floor3 ACTION=DENIED
2024-07-28T04:54:07+09:00 badge=E-I name=배수석 auth=badge door=lab ACTION=EXIT
2024-07-28T04:54:36+09:00 badge=E-C name=박신입 auth=badge door=lobby ACTION=ENTER
2024-07-28T04:55:06+09:00 badge=E-G name=오주임 auth=badge door=lounge ACTION=EXIT
2024-07-28T04:55:35+09:00 badge=E-A name=김팀장 auth=badge door=lab ACTION=EXIT
2024-07-28T04:56:16+09:00 badge=E-C name=박신입 auth=badge door=lounge ACTION=PING
2024-07-28T04:58:29+09:00 badge=E-C name=박신입 auth=badge door=lab ACTION=PING
2024-07-28T04:59:04+09:00 badge=E-G name=오주임 auth=badge door=lobby ACTION=EXIT
2024-07-28T05:05:55+09:00 badge=E-F name=한과장 auth=badge door=lab ACTION=DENIED
2024-07-28T05:08:58+09:00 badge=E-C name=박신입 auth=badge door=office_floor3 ACTION=DENIED
2024-07-28T05:10:52+09:00 badge=E-A name=김팀장 auth=badge door=lab ACTION=ENTER
2024-07-28T05:11:54+09:00 badge=E-H name=신인턴 auth=badge door=lounge ACTION=DENIED
2024-07-28T05:12:15+09:00 badge=E-J name=조연구원 auth=badge door=lobby ACTION=ENTER
2024-07-28T05:13:14+09:00 badge=E-C name=박신입 auth=badge door=lobby ACTION=PING
2024-07-28T05:16:03+09:00 badge=E-B name=이대리 auth=badge door=server_room ACTION=EXIT
2024-07-28T05:16:40+09:00 badge=E-J name=조연구원 auth=badge door=server_room ACTION=EXIT
2024-07-28T05:17:45+09:00 badge=E-H name=신인턴 auth=badge door=office_floor3 ACTION=DENIED
2024-07-28T05:22:23+09:00 badge=E-B name=이대리 auth=badge door=lounge ACTION=ENTER
2024-07-28T05:22:32+09:00 badge=E-F name=한과장 auth=badge door=lounge ACTION=ENTER
2024-07-28T05:23:06+09:00 badge=E-J name=조연구원 auth=badge door=office_floor3 ACTION=PING
2024-07-28T05:23:12+09:00 badge=E-C name=박신입 auth=badge door=lounge ACTION=EXIT
2024-07-28T05:24:11+09:00 badge=E-A name=김팀장 auth=badge door=parking ACTION=DENIED
2024-07-28T05:24:32+09:00 badge=E-H name=신인턴 auth=badge door=lobby ACTION=DENIED
2024-07-28T05:24:44+09:00 badge=E-G name=오주임 auth=badge door=parking ACTION=ENTER
2024-07-28T05:24:50+09:00 badge=E-E name=정대리 auth=badge door=lounge ACTION=DENIED
2024-07-28T05:24:59+09:00 badge=E-G name=오주임 auth=badge door=parking ACTION=PING
2024-07-28T05:25:08+09:00 badge=E-I name=배수석 auth=badge door=parking ACTION=EXIT
2024-07-28T05:25:43+09:00 badge=E-E name=정대리 auth=badge door=lab ACTION=ENTER
2024-07-28T05:26:26+09:00 badge=E-E name=정대리 auth=badge door=office_floor3 ACTION=ENTER
2024-07-28T05:30:21+09:00 badge=E-B name=이대리 auth=badge door=lounge ACTION=DENIED
2024-07-28T05:34:25+09:00 badge=E-I name=배수석 auth=badge door=office_floor3 ACTION=ENTER
2024-07-28T05:35:01+09:00 badge=E-G name=오주임 auth=badge door=office_floor3 ACTION=PING
2024-07-28T05:36:10+09:00 badge=E-H name=신인턴 auth=badge door=office_floor3 ACTION=ENTER
2024-07-28T05:36:18+09:00 badge=E-H name=신인턴 auth=badge door=lounge ACTION=DENIED
2024-07-28T05:37:40+09:00 badge=E-J name=조연구원 auth=badge door=server_room ACTION=DENIED
2024-07-28T05:39:17+09:00 badge=E-I name=배수석 auth=badge door=parking ACTION=EXIT
2024-07-28T05:40:52+09:00 badge=E-G name=오주임 auth=badge door=server_room ACTION=ENTER
2024-07-28T05:41:30+09:00 badge=E-F name=한과장 auth=badge door=lounge ACTION=ENTER
2024-07-28T05:43:42+09:00 badge=E-E name=정대리 auth=badge door=server_room ACTION=EXIT
2024-07-28T05:43:47+09:00 badge=E-I name=배수석 auth=badge door=lobby ACTION=ENTER
2024-07-28T05:45:01+09:00 badge=E-I name=배수석 auth=badge door=lab ACTION=DENIED
2024-07-28T05:45:16+09:00 badge=E-D name=윤사원 auth=badge door=lab ACTION=ENTER
2024-07-28T05:45:19+09:00 badge=E-J name=조연구원 auth=badge door=office_floor3 ACTION=DENIED
2024-07-28T05:46:27+09:00 badge=E-H name=신인턴 auth=badge door=server_room ACTION=EXIT
2024-07-28T05:46:47+09:00 badge=E-F name=한과장 auth=badge door=lab ACTION=ENTER
2024-07-28T05:46:58+09:00 badge=E-C name=박신입 auth=badge door=lobby ACTION=PING
2024-07-28T05:49:15+09:00 badge=E-E name=정대리 auth=badge door=lab ACTION=ENTER
2024-07-28T05:49:35+09:00 badge=E-H name=신인턴 auth=badge door=server_room ACTION=EXIT
2024-07-28T05:50:12+09:00 badge=E-D name=윤사원 auth=badge door=parking ACTION=EXIT
2024-07-28T05:50:56+09:00 badge=E-F name=한과장 auth=badge door=office_floor3 ACTION=DENIED
2024-07-28T05:51:26+09:00 badge=E-A name=김팀장 auth=badge door=parking ACTION=DENIED
2024-07-28T05:52:09+09:00 badge=E-I name=배수석 auth=badge door=server_room ACTION=ENTER
2024-07-28T05:53:37+09:00 badge=E-E name=정대리 auth=badge door=server_room ACTION=EXIT
2024-07-28T05:56:41+09:00 badge=E-D name=윤사원 auth=badge door=server_room ACTION=ENTER
2024-07-28T05:58:09+09:00 badge=E-D name=윤사원 auth=badge door=lab ACTION=DENIED
2024-07-28T05:59:16+09:00 badge=E-A name=김팀장 auth=badge door=parking ACTION=ENTER
2024-07-28T06:00:22+09:00 badge=E-H name=신인턴 auth=badge door=lab ACTION=ENTER
2024-07-28T06:00:23+09:00 badge=E-D name=윤사원 auth=badge door=lobby ACTION=PING
2024-07-28T06:00:38+09:00 badge=E-B name=이대리 auth=badge door=lab ACTION=PING
2024-07-28T06:01:00+09:00 badge=E-I name=배수석 auth=badge door=lobby ACTION=PING
2024-07-28T06:01:12+09:00 badge=E-B name=이대리 auth=badge door=lab ACTION=PING
2024-07-28T06:01:18+09:00 badge=E-F name=한과장 auth=badge door=server_room ACTION=ENTER
2024-07-28T06:01:53+09:00 badge=E-J name=조연구원 auth=badge door=lobby ACTION=PING
2024-07-28T06:02:00+09:00 badge=E-I name=배수석 auth=badge door=lab ACTION=EXIT
2024-07-28T06:02:07+09:00 badge=E-F name=한과장 auth=badge door=lounge ACTION=ENTER
2024-07-28T06:02:18+09:00 badge=E-I name=배수석 auth=badge door=server_room ACTION=ENTER
2024-07-28T06:02:27+09:00 badge=E-H name=신인턴 auth=badge door=lab ACTION=EXIT
2024-07-28T06:02:37+09:00 badge=E-G name=오주임 auth=badge door=office_floor3 ACTION=DENIED
2024-07-28T06:02:46+09:00 badge=E-B name=이대리 auth=badge door=lobby ACTION=DENIED
2024-07-28T06:03:06+09:00 badge=E-C name=박신입 auth=badge door=parking ACTION=ENTER
2024-07-28T06:03:22+09:00 badge=E-H name=신인턴 auth=badge door=lobby ACTION=PING
2024-07-28T06:03:25+09:00 badge=E-F name=한과장 auth=badge door=server_room ACTION=DENIED
2024-07-28T06:03:45+09:00 badge=E-D name=윤사원 auth=badge door=lobby ACTION=PING
2024-07-28T06:03:56+09:00 badge=E-H name=신인턴 auth=badge door=lobby ACTION=EXIT
2024-07-28T06:04:25+09:00 badge=E-F name=한과장 auth=badge door=server_room ACTION=DENIED
2024-07-28T06:04:29+09:00 badge=E-F name=한과장 auth=badge door=lab ACTION=ENTER
2024-07-28T06:04:37+09:00 badge=E-G name=오주임 auth=badge door=parking ACTION=DENIED
2024-07-28T06:04:40+09:00 badge=E-I name=배수석 auth=badge door=lobby ACTION=EXIT
2024-07-28T06:04:46+09:00 badge=E-B name=이대리 auth=badge door=server_room ACTION=ENTER
2024-07-28T06:05:01+09:00 badge=E-A name=김팀장 auth=badge door=lab ACTION=ENTER
2024-07-28T06:05:16+09:00 badge=E-C name=박신입 auth=badge door=lobby ACTION=EXIT
2024-07-28T06:05:22+09:00 badge=E-B name=이대리 auth=badge door=office_floor3 ACTION=PING
2024-07-28T06:05:43+09:00 badge=E-I name=배수석 auth=badge door=lounge ACTION=PING
2024-07-28T06:05:57+09:00 badge=E-D name=윤사원 auth=badge door=parking ACTION=PING
2024-07-28T06:06:02+09:00 badge=E-J name=조연구원 auth=badge door=lab ACTION=DENIED
2024-07-28T06:06:17+09:00 badge=E-E name=정대리 auth=badge door=parking ACTION=ENTER
2024-07-28T06:06:21+09:00 badge=E-I name=배수석 auth=badge door=lounge ACTION=EXIT
2024-07-28T06:06:52+09:00 badge=E-J name=조연구원 auth=badge door=parking ACTION=ENTER
2024-07-28T06:07:01+09:00 badge=E-G name=오주임 auth=badge door=lobby ACTION=DENIED
2024-07-28T06:07:05+09:00 badge=E-C name=박신입 auth=badge door=lounge ACTION=ENTER
2024-07-28T06:07:12+09:00 badge=E-F name=한과장 auth=badge door=lab ACTION=DENIED
2024-07-28T06:07:40+09:00 badge=E-D name=윤사원 auth=badge door=server_room ACTION=DENIED
2024-07-28T06:07:46+09:00 badge=E-B name=이대리 auth=badge door=office_floor3 ACTION=DENIED
2024-07-28T06:07:59+09:00 badge=E-A name=김팀장 auth=badge door=lab ACTION=DENIED
2024-07-28T06:08:17+09:00 badge=E-H name=신인턴 auth=badge door=server_room ACTION=ENTER
2024-07-28T06:08:20+09:00 badge=E-I name=배수석 auth=badge door=lobby ACTION=EXIT
2024-07-28T06:08:29+09:00 badge=E-I name=배수석 auth=badge door=lounge ACTION=DENIED
2024-07-28T06:08:55+09:00 badge=E-E name=정대리 auth=badge door=office_floor3 ACTION=ENTER
2024-07-28T06:09:10+09:00 badge=E-G name=오주임 auth=badge door=server_room ACTION=ENTER
2024-07-28T06:09:19+09:00 badge=E-B name=이대리 auth=badge door=lounge ACTION=PING
2024-07-28T06:09:25+09:00 badge=E-J name=조연구원 auth=badge door=parking ACTION=DENIED
2024-07-28T06:09:38+09:00 badge=E-B name=이대리 auth=badge door=lobby ACTION=DENIED
2024-07-28T06:09:46+09:00 badge=E-B name=이대리 auth=badge door=server_room ACTION=DENIED
2024-07-28T06:10:07+09:00 badge=E-E name=정대리 auth=badge door=parking ACTION=ENTER
2024-07-28T06:10:08+09:00 badge=E-A name=김팀장 auth=badge door=lounge ACTION=EXIT
2024-07-28T06:10:29+09:00 badge=E-E name=정대리 auth=badge door=lobby ACTION=ENTER
2024-07-28T06:10:37+09:00 badge=E-E name=정대리 auth=badge door=lobby ACTION=PING
2024-07-28T06:10:38+09:00 badge=E-B name=이대리 auth=badge door=lobby ACTION=ENTER
2024-07-28T06:11:02+09:00 badge=E-E name=정대리 auth=badge door=lab ACTION=PING
2024-07-28T06:11:05+09:00 badge=E-G name=오주임 auth=badge door=lobby ACTION=EXIT
2024-07-28T06:11:25+09:00 badge=E-B name=이대리 auth=badge door=lobby ACTION=PING
2024-07-28T06:11:33+09:00 badge=E-B name=이대리 auth=badge door=lab ACTION=DENIED
2024-07-28T06:11:49+09:00 badge=E-A name=김팀장 auth=badge door=server_room ACTION=DENIED
2024-07-28T06:12:14+09:00 badge=E-E name=정대리 auth=badge door=office_floor3 ACTION=DENIED
2024-07-28T06:12:19+09:00 badge=E-F name=한과장 auth=badge door=lobby ACTION=ENTER
2024-07-28T06:12:25+09:00 badge=E-C name=박신입 auth=badge door=parking ACTION=PING
2024-07-28T06:12:38+09:00 badge=E-G name=오주임 auth=badge door=parking ACTION=ENTER
2024-07-28T06:13:03+09:00 badge=E-C name=박신입 auth=badge door=office_floor3 ACTION=DENIED
2024-07-28T06:13:21+09:00 badge=E-E name=정대리 auth=badge door=lab ACTION=DENIED
2024-07-28T06:13:27+09:00 badge=E-C name=박신입 auth=badge door=server_room ACTION=ENTER
2024-07-28T06:13:49+09:00 badge=E-E name=정대리 auth=badge door=parking ACTION=PING
